bnf_code,bnf_name,nm,chemical,strnt_nmrtr_val,strnt_dnmtr_val,uom_nmrtr,uom_dnmtr
0402030P0BDAAAL,Li-Liquid 509mg/5ml oral solution,Lithium citrate 509mg/5ml oral solution,Lithium citrate,101.8,1,mg,ml
0402030K0BFAAAF,Priadel 400mg modified-release tablets,Lithium carbonate 400mg modified-release tablets,Lithium carbonate,400,,mg,
0402030K0BFABAI,Priadel 200mg modified-release tablets,Lithium carbonate 200mg modified-release tablets,Lithium carbonate,200,,mg,
0402030K0BDAAAG,Liskonum 450mg modified-release tablets,Lithium carbonate 450mg modified-release tablets,Lithium carbonate,450,,mg,
0402030K0AAAFAF,Lithium carbonate 400mg modified-release tablets,Lithium carbonate 400mg modified-release tablets,Lithium carbonate,400,,mg,
0402030K0BBAAAC,Camcolit 250 tablets,Lithium carbonate 250mg tablets,Lithium carbonate,250,,mg,
0402030P0AAAKAK,Lithium citrate 1.018g/5ml oral solution,Lithium citrate 1.018g/5ml oral solution,Lithium citrate,203.6,1,mg,ml
0402030P0BCAAAI,Priadel 520mg/5ml liquid,Lithium citrate 520mg/5ml oral solution sugar free,Lithium citrate,104,1,mg,ml
0402030K0AAACAC,Lithium carbonate 250mg tablets,Lithium carbonate 250mg tablets,Lithium carbonate,250,,mg,
0402030P0AAAIAI,Lithium citrate 520mg/5ml oral solution sugar free,Lithium citrate 520mg/5ml oral solution sugar free,Lithium citrate,104,1,mg,ml
0402030P0AAALAL,Lithium citrate 509mg/5ml oral solution,Lithium citrate 509mg/5ml oral solution,Lithium citrate,101.8,1,mg,ml
0402030K0AAAIAI,Lithium carbonate 200mg modified-release tablets,Lithium carbonate 200mg modified-release tablets,Lithium carbonate,200,,mg,
0402030K0AAAGAG,Lithium carbonate 450mg modified-release tablets,Lithium carbonate 450mg modified-release tablets,Lithium carbonate,450,,mg,
0402030K0BBABAF,Camcolit 400 modified-release tablets,Lithium carbonate 400mg modified-release tablets,Lithium carbonate,400,,mg,
0402030K0AAAPAP,Lithium carbonate 200mg/5ml oral suspension,Lithium carbonate 200mg/5ml oral suspension,Lithium carbonate,40,1,mg,ml
0402030K0BGAAAF,Lithonate 400mg modified-release tablets,Lithium carbonate 400mg modified-release tablets,Lithium carbonate,400,,mg,
0402030P0BDABAK,Li-Liquid 1.018g/5ml oral solution,Lithium citrate 1.018g/5ml oral solution,Lithium citrate,203.6,1,mg,ml
