practice_code,name,status,icb_code,region_code,region,both_roles_active
A81002,QUEENS PARK MEDICAL CENTRE,Active,QHM,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,TRUE
A81003,VICTORIA MEDICAL PRACTICE,Inactive,NA,NA,NA,FALSE
A81004,ACKLAM MEDICAL CENTRE,Active,QHM,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,TRUE
A81005,SPRINGWOOD SURGERY,Active,QHM,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,TRUE
A81006,TENNANT STREET MEDICAL PRACTICE,Active,QHM,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,TRUE
A81007,BANKHOUSE SURGERY,Active,QHM,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,TRUE
A81008,ALBERT HOUSE CLINIC,Inactive,NA,NA,NA,FALSE
A81009,VILLAGE MEDICAL CENTRE,Active,QHM,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,TRUE
A81011,CHADWICK PRACTICE,Active,QHM,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,TRUE
A81012,WESTBOURNE MEDICAL CENTRE,Active,QHM,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,TRUE
A81013,BROTTON SURGERY,Active,QHM,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,TRUE
A81014,QUEENSTREE PRACTICE,Active,QHM,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,TRUE
A81015,LAGAN SURGERY,Inactive,NA,NA,NA,FALSE
A81016,PARK SURGERY,Active,QHM,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,TRUE
A81017,WOODBRIDGE PRACTICE,Active,QHM,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,TRUE
A81018,BENTLEY MEDICAL PRACTICE,Active,QHM,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,TRUE
A81019,CROSSFELL HEALTH CENTRE,Active,QHM,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,TRUE
A81020,MARTONSIDE MEDICAL CENTRE,Active,QHM,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,TRUE
A81021,NORMANBY MEDICAL CENTRE,Active,QHM,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,TRUE
