Trust Code,Trust Name,Region,ICB,Predecessors,Successors,Total Quantity,Unit
RCF,"Airedale NHS Foundation Trust","North East And Yorkshire","NHS West Yorkshire","","",4604.968990291089,"DDD (24.0 mmol)"
RBS,"Alder Hey Children's NHS Foundation Trust","North West","NHS Cheshire And Merseyside","","",0,""
RTK,"Ashford And St Peter's Hospitals NHS Foundation Trust","South East","NHS Surrey Heartlands","","",2802.1585135060614,"DDD (24.0 mmol)"
RVN,"Avon And Wiltshire Mental Health Partnership NHS Trust","South West","NHS Bath And North East Somerset, Swindon And Wiltshire","","",176651.3458974205,"DDD (24.0 mmol)"
RF4,"Barking, Havering And Redbridge University Hospitals NHS Trust","London","NHS North East London","","",7186.358191281044,"DDD (24.0 mmol)"
RRP,"Barnet, Enfield And Haringey Mental Health NHS Trust","London","NHS North Central London","","G6V2S",0,""
RFF,"Barnsley Hospital NHS Foundation Trust","North East And Yorkshire","NHS South Yorkshire","","",4155.049024308482,"DDD (24.0 mmol)"
R1H,"Barts Health NHS Trust","London","NHS North East London","","",17551.94015971402,"DDD (24.0 mmol)"
RDD,"Basildon And Thurrock University Hospitals NHS Foundation Trust","East Of England","NHS England East Of England (East)","","RAJ",0,""
RC1,"Bedford Hospital NHS Trust","East Of England","NHS England East Of England (East)","","RC9",0,""
RC9,"Bedfordshire Hospitals NHS Foundation Trust","East Of England","NHS Bedfordshire, Luton And Milton Keynes","RC1","",11445.281283926315,"DDD (24.0 mmol)"
RWX,"Berkshire Healthcare NHS Foundation Trust","South East","NHS Frimley","","",31794.075293040838,"DDD (24.0 mmol)"
RXT,"Birmingham And Solihull Mental Health NHS Foundation Trust","Midlands","NHS Birmingham And Solihull","","",384393.7154664801,"DDD (24.0 mmol)"
RYW,"Birmingham Community Healthcare NHS Foundation Trust","Midlands","NHS Birmingham And Solihull","","",1000.3079861822386,"DDD (24.0 mmol)"
RQ3,"Birmingham Women's And Children's NHS Foundation Trust","Midlands","NHS Birmingham And Solihull","","",36061.956281562394,"DDD (24.0 mmol)"
TAJ,"Black Country Healthcare NHS Foundation Trust","Midlands","NHS Black Country","RYK","",9209.927368764033,"DDD (24.0 mmol)"
RXL,"Blackpool Teaching Hospitals NHS Foundation Trust","North West","NHS Lancashire And South Cumbria","","",7674.494379087482,"DDD (24.0 mmol)"
RMC,"Bolton NHS Foundation Trust","North West","NHS Greater Manchester","","",3668.447676318295,"DDD (24.0 mmol)"
