PERIOD,BNF_CODE,BNF_NAME,HOSPITAL_TRUST_CODE,HOSPITAL_TRUST,TOTAL_QUANTITY
202009,0402030K0BFAAAF,Priadel 400mg modified-release tablets,R1L00,ESSEX PARTNERSHIP UNIVERSITY NHS FT,56.0
202009,0402030K0BFABAI,Priadel 200mg modified-release tablets,R1L00,ESSEX PARTNERSHIP UNIVERSITY NHS FT,28.0
202009,0402030K0AAAIAI,Lithium carbonate 200mg modified-release tablets,R1F00,ISLE OF WIGHT NHS TRUST,30.0
202009,0402030K0AAAIAI,Lithium carbonate 200mg modified-release tablets,R1F00,ISLE OF WIGHT NHS TRUST,84.0
202009,0402030K0BFAAAF,Priadel 400mg modified-release tablets,R1L00,ESSEX PARTNERSHIP UNIVERSITY NHS FT,7.0
202009,0402030K0BFAAAF,Priadel 400mg modified-release tablets,R1F00,ISLE OF WIGHT NHS TRUST,14.0
202009,0402030K0BFABAI,Priadel 200mg modified-release tablets,R1F00,ISLE OF WIGHT NHS TRUST,14.0
202009,0402030K0BFAAAF,Priadel 400mg modified-release tablets,R1L00,ESSEX PARTNERSHIP UNIVERSITY NHS FT,14.0
202009,0402030K0AAAFAF,Lithium carbonate 400mg modified-release tablets,R1F00,ISLE OF WIGHT NHS TRUST,10.0
202009,0402030K0AAAIAI,Lithium carbonate 200mg modified-release tablets,R1L00,ESSEX PARTNERSHIP UNIVERSITY NHS FT,84.0
202009,0402030K0BDAAAG,Liskonum 450mg modified-release tablets,R1L00,ESSEX PARTNERSHIP UNIVERSITY NHS FT,14.0
202009,0402030K0BFAAAF,Priadel 400mg modified-release tablets,RAT00,NORTH EAST LONDON NHS FOUNDATION TRUST,28.0
202009,0402030K0AAAFAF,Lithium carbonate 400mg modified-release tablets,R1L00,ESSEX PARTNERSHIP UNIVERSITY NHS FT,56.0
202009,0402030K0AAAFAF,Lithium carbonate 400mg modified-release tablets,R1L00,ESSEX PARTNERSHIP UNIVERSITY NHS FT,56.0
202009,0402030K0BFAAAF,Priadel 400mg modified-release tablets,RAT00,NORTH EAST LONDON NHS FOUNDATION TRUST,42.0
202009,0402030K0AAAFAF,Lithium carbonate 400mg modified-release tablets,RAT00,NORTH EAST LONDON NHS FOUNDATION TRUST,42.0
202009,0402030K0BFAAAF,Priadel 400mg modified-release tablets,RCE00,BRADFORD DISTRICT CARE NHS FT,56.0
202009,0402030K0BFABAI,Priadel 200mg modified-release tablets,RAT00,NORTH EAST LONDON NHS FOUNDATION TRUST,28.0
202009,0402030K0AAAIAI,Lithium carbonate 200mg modified-release tablets,R1L00,ESSEX PARTNERSHIP UNIVERSITY NHS FT,56.0
202009,0402030K0BBABAF,Camcolit 400 modified-release tablets,RAT00,NORTH EAST LONDON NHS FOUNDATION TRUST,14.0
202009,0402030K0BDAAAG,Liskonum 450mg modified-release tablets,R1L00,ESSEX PARTNERSHIP UNIVERSITY NHS FT,21.0
202009,0402030K0BFABAI,Priadel 200mg modified-release tablets,RC900,LUTON & DUNSTABLE HOSPITAL TRUST,7.0
202009,0402030K0BFAAAF,Priadel 400mg modified-release tablets,RCE00,BRADFORD DISTRICT CARE NHS FT,7.0
202009,0402030K0AAAFAF,Lithium carbonate 400mg modified-release tablets,R1F00,ISLE OF WIGHT NHS TRUST,28.0
202009,0402030K0AAAFAF,Lithium carbonate 400mg modified-release tablets,R1F00,ISLE OF WIGHT NHS TRUST,56.0
202009,0402030K0BBABAF,Camcolit 400 modified-release tablets,RDY00,DORSET H/CARE UNI NHS FOUNDATION TRUST,56.0
202009,0402030K0BFABAI,Priadel 200mg modified-release tablets,RDY00,DORSET H/CARE UNI NHS FOUNDATION TRUST,5.0
202009,0402030K0BFAAAF,Priadel 400mg modified-release tablets,RC900,LUTON & DUNSTABLE HOSPITAL TRUST,7.0
202009,0402030K0BFAAAF,Priadel 400mg modified-release tablets,RC900,LUTON & DUNSTABLE HOSPITAL TRUST,14.0
202009,0402030K0BFAAAF,Priadel 400mg modified-release tablets,RH500,SOMERSET NHS FOUNDATION TRUST,28.0
202009,0402030K0BFAAAF,Priadel 400mg modified-release tablets,RGD00,LEEDS AND YORK PARTNERSHIP NHS FT,7.0
202009,0402030K0BDAAAG,Liskonum 450mg modified-release tablets,RCE00,BRADFORD DISTRICT CARE NHS FT,10.0
202009,0402030K0AAAIAI,Lithium carbonate 200mg modified-release tablets,RDY00,DORSET H/CARE UNI NHS FOUNDATION TRUST,70.0
202009,0402030K0BFABAI,Priadel 200mg modified-release tablets,RH500,SOMERSET NHS FOUNDATION TRUST,100.0
202009,0402030K0BFABAI,Priadel 200mg modified-release tablets,RDY00,DORSET H/CARE UNI NHS FOUNDATION TRUST,100.0
202009,0402030K0BFABAI,Priadel 200mg modified-release tablets,RDY00,DORSET H/CARE UNI NHS FOUNDATION TRUST,14.0
202009,0402030K0BFAAAF,Priadel 400mg modified-release tablets,RCE00,BRADFORD DISTRICT CARE NHS FT,14.0
202009,0402030K0BFAAAF,Priadel 400mg modified-release tablets,RFR00,THE ROTHERHAM NHS FOUNDATION TRUST,14.0
202009,0402030K0BFAAAF,Priadel 400mg modified-release tablets,RH500,SOMERSET NHS FOUNDATION TRUST,14.0
202009,0402030K0AAAIAI,Lithium carbonate 200mg modified-release tablets,RHA00,NOTTINGHAMSHIRE HEALTHCARE NHS F TRUST,84.0
202009,0402030K0BFAAAF,Priadel 400mg modified-release tablets,RHA00,NOTTINGHAMSHIRE HEALTHCARE NHS F TRUST,2.0
