"region","population","total_DDD_2024","DDDs_per_1000","Source"
"East of England","6,889,610","1,202,157.94","174.49","Primary"
"London","9,089,736","1,490,050.12","163.93","Primary"
"Midlands","11,250,368","1,691,591.82","150.36","Primary"
"North East and Yorkshire","8,755,647","1,402,108.09","160.14","Primary"
"North West","7,415,407","1,380,021.53","186.10","Primary"
"South East","9,322,323","1,689,038.83","181.18","Primary"
"South West","5,897,010","1,092,514.40","185.27","Primary"
"East of England","6,889,610","48,386.50","7.02","Secondary"
"London","9,089,736","227,666.73","25.05","Secondary"
"Midlands","11,250,368","214,674.40","19.08","Secondary"
"North East and Yorkshire","8,755,647","107,095.95","12.23","Secondary"
"North West","7,415,407","118,021.95","15.92","Secondary"
"South East","9,322,323","109,345.96","11.73","Secondary"
"South West","5,897,010","73,110.72","12.40","Secondary"
"East of England","6,889,610","14,936.28","2.17","Hospital FP10"
"London","9,089,736","37,990.35","4.18","Hospital FP10"
"Midlands","11,250,368","50,003.17","4.44","Hospital FP10"
"North East and Yorkshire","8,755,647","55,417.17","6.33","Hospital FP10"
"North West","7,415,407","36,288.40","4.89","Hospital FP10"
"South East","9,322,323","42,133.69","4.52","Hospital FP10"
"South West","5,897,010","18,036.82","3.06","Hospital FP10"
