"year","region","total_DDD","population","DDDs_per_1000"
2017,"East of England",10851.3580576189,6485874,1.67
2017,"London",26773.1355906232,8776229,3.05
2017,"Midlands",45431.4223644731,10633398,4.27
2017,"North East and Yorkshire",35756.2638044335,8363457,4.28
2017,"North West",20412.2119156311,6963879,2.93
2017,"South East",28500.2169646607,8816332,3.23
2017,"South West",16838.8082722001,5580379,3.02
2018,"East of England",11052.2992883676,6522780,1.69
2018,"London",27663.4542996586,8833335,3.13
2018,"Midlands",51314.7772131126,10704479,4.79
2018,"North East and Yorkshire",34121.2603452577,8385257,4.07
2018,"North West",22905.3608283584,7004135,3.27
2018,"South East",29698.0556695503,8858941,3.35
2018,"South West",13689.9727684421,5615601,2.44
2019,"East of England",11930.7543512369,6562167,1.82
2019,"London",31105.9716166373,8889743,3.5
2019,"Midlands",57015.7104697697,10764978,5.3
2019,"North East and Yorkshire",39956.4258110465,8413528,4.75
2019,"North West",28675.8960814007,7051066,4.07
2019,"South East",33414.6056873693,8899771,3.75
2019,"South West",17426.1165737868,5648803,3.08
2020,"East of England",9347.93962743324,6588234,1.42
2020,"London",31513.3828607843,8867008,3.55
2020,"Midlands",48495.6980204792,10787393,4.5
2020,"North East and Yorkshire",37874.6133197632,8418150,4.5
2020,"North West",22568.2373780562,7068368,3.19
2020,"South East",29118.5313130074,8928630,3.26
2020,"South West",12758.5464537757,5668178,2.25
2021,"East of England",8369.51648689874,6645011,1.26
2021,"London",31290.8972702298,8804769,3.55
2021,"Midlands",45072.994546337,10837785,4.16
2021,"North East and Yorkshire",40580.4928852032,8444104,4.81
2021,"North West",27433.3798096598,7109936,3.86
2021,"South East",28847.9659034979,8994117,3.21
2021,"South West",10467.6349198875,5719169,1.83
2022,"East of England",11400.2222085123,6702351,1.7
2022,"London",33292.3384789624,8871368,3.75
2022,"Midlands",47739.9722805753,10956530,4.36
2022,"North East and Yorkshire",39930.1192421793,8541881,4.67
2022,"North West",29599.359818942,7210078,4.11
2022,"South East",32199.0414697442,9086407,3.54
2022,"South West",11187.6143681898,5775780,1.94
2023,"East of England",12726.2728458171,6800736,1.87
2023,"London",36024.5332828816,8999705,4
2023,"Midlands",48884.4325167227,11110198,4.4
2023,"North East and Yorkshire",44696.4154462169,8654398,5.16
2023,"North West",30262.4219007419,7315223,4.14
2023,"South East",32492.9646614904,9215038,3.53
2023,"South West",12498.1014097803,5837172,2.14
2024,"East of England",14936.2807340785,6889610,2.17
2024,"London",37990.3465746292,9089736,4.18
2024,"Midlands",50003.1740835972,11250368,4.44
2024,"North East and Yorkshire",55417.1672427886,8755647,6.33
2024,"North West",36288.3996440692,7415407,4.89
2024,"South East",42133.6918546834,9322323,4.52
2024,"South West",18036.8182152684,5897010,3.06
