"product_code","product_name","total_DDD"
"0402030K0BFAAAF","Priadel 400mg modified-release tablets",520245.680345572
"0402030K0AAAFAF","Lithium carbonate 400mg modified-release tablets",250553.005759539
"0402030K0BFAAAF","Priadel_Tab 400mg",233259.089272858
"0402030K0BFABAI","Priadel 200mg modified-release tablets",206787.931965443
"0402030K0AAAFAF","Lithium Carb_Tab 400mg M/R",141790.856731461
"0402030K0BFABAI","Priadel_Tab 200mg",92995.4103671706
"0402030K0AAAIAI","Lithium carbonate 200mg modified-release tablets",90521.0583153348
"0402030K0AAAIAI","Lithium Carb_Tab 200mg M/R",51567.4496040317
"0402030K0AAACAC","Lithium carbonate 250mg tablets",16302.7582793377
"0402030K0AAACAC","Lithium Carb_Tab 250mg",6297.52744780418
"0402030K0BDAAAG","Liskonum 450mg modified-release tablets",4485.0161987041
"0402030K0AAAGAG","Lithium carbonate 450mg modified-release tablets",3506.51322894168
"0402030P0BCAAAI","Priadel_Liq 520mg/5ml S/F",3357.18
"0402030K0BBABAF","Camcolit 400_Tab 400mg",3134.44924406048
"0402030P0AAAIAI","Lithium citrate 520mg/5ml oral solution sugar free",2630.745
"0402030P0AAAIAI","Lithium Cit_Oral Soln 520mg/5ml S/F",1602.63
"0402030P0AAALAL","Lithium citrate 509mg/5ml oral solution",1552.77
"0402030K0AAAGAG","Lithium Carb_Tab 450mg M/R",1044.31020518359
"0402030P0AAALAL","Lithium Cit_Oral Soln 509mg/5ml",915.975
"0402030P0BDAAAL","Li-Liquid 509mg/5ml oral solution",846.81
"0402030P0AAAKAK","Lithium citrate 1.018g/5ml oral solution",630.54
"0402030K0BDAAAG","Liskonum_Tab 450mg M/R",533.038606911447
"0402030P0AAAKAK","Lithium Cit_Oral Soln 1.018g/5ml",481.41
"0402030K0BBAAAC","Camcolit 250_Tab 250mg",453.901187904968
"0402030P0BDABAK","Li-Liquid 1.018g/5ml oral solution",221.85
"0402030K0BBAAAC","Camcolit 250 tablets",0
"0402030K0BBABAF","Camcolit 400 modified-release tablets",0
"0402030P0BDABAK","Li-Liquid_Syr 10.8mmol/5ml",0
"0402030P0BDAAAL","Li-Liquid_Syr 5.4mmol/5ml",0
"0402030K0AAAPAP","Lithium Carb_Liq Spec 200mg/5ml",0
"0402030K0AAAPAP","Lithium carbonate 200mg/5ml oral suspension",0
"0402030P0BCAAAI","Priadel 520mg/5ml liquid",0
