"year","product_code","product_name","total_DDD"
"2017","0402030K0AAACAC","Lithium Carb_Tab 250mg",2250.38246940245
"2017","0402030K0AAAFAF","Lithium Carb_Tab 400mg M/R",47362.7609791217
"2017","0402030K0AAAGAG","Lithium Carb_Tab 450mg M/R",209.064524838013
"2017","0402030K0AAAIAI","Lithium Carb_Tab 200mg M/R",17344.7624190065
"2017","0402030K0AAAPAP","Lithium Carb_Liq Spec 200mg/5ml",92.2426205903528
"2017","0402030K0BBAAAC","Camcolit 250_Tab 250mg",316.662167026638
"2017","0402030K0BBABAF","Camcolit 400_Tab 400mg",937.27501799856
"2017","0402030K0BDAAAG","Liskonum_Tab 450mg M/R",177.173326133909
"2017","0402030K0BFAAAF","Priadel_Tab 400mg",81107.3614110871
"2017","0402030K0BFABAI","Priadel_Tab 200mg",32198.2991360691
"2017","0402030P0AAAIAI","Lithium Cit_Oral Soln 520mg/5ml S/F",665.906358299738
"2017","0402030P0AAAKAK","Lithium Cit_Oral Soln 1.018g/5ml",243.088089681024
"2017","0402030P0AAALAL","Lithium Cit_Oral Soln 509mg/5ml",318.777494872339
"2017","0402030P0BCAAAI","Priadel_Liq 520mg/5ml S/F",1115.69771553858
"2017","0402030P0BDAAAL","Li-Liquid_Syr 5.4mmol/5ml",92.5642725793903
"2017","0402030P0BDABAK","Li-Liquid_Syr 10.8mmol/5ml",131.398967395148
"2018","0402030K0AAACAC","Lithium Carb_Tab 250mg",2553.82694384449
"2018","0402030K0AAAFAF","Lithium Carb_Tab 400mg M/R",52702.033837293
"2018","0402030K0AAAGAG","Lithium Carb_Tab 450mg M/R",432.302915766739
"2018","0402030K0AAAIAI","Lithium Carb_Tab 200mg M/R",19240.6857451404
"2018","0402030K0AAAPAP","Lithium Carb_Liq Spec 200mg/5ml",34.6472282217423
"2018","0402030K0BBAAAC","Camcolit 250_Tab 250mg",96.4610331173506
"2018","0402030K0BBABAF","Camcolit 400_Tab 400mg",1461.93304535637
"2018","0402030K0BDAAAG","Liskonum_Tab 450mg M/R",307.775377969762
"2018","0402030K0BFAAAF","Priadel_Tab 400mg",79818.6645068395
"2018","0402030K0BFABAI","Priadel_Tab 200mg",31661.4920806336
"2018","0402030P0AAAIAI","Lithium Cit_Oral Soln 520mg/5ml S/F",515.255675790367
"2018","0402030P0AAAKAK","Lithium Cit_Oral Soln 1.018g/5ml",91.6192800056581
"2018","0402030P0AAALAL","Lithium Cit_Oral Soln 509mg/5ml",309.417568427753
"2018","0402030P0BCAAAI","Priadel_Liq 520mg/5ml S/F",1128.61588514039
"2018","0402030P0BDAAAL","Li-Liquid_Syr 5.4mmol/5ml",90.4492892000849
"2019","0402030K0AAACAC","Lithium Carb_Tab 250mg",1493.31803455724
"2019","0402030K0AAACAC","Lithium carbonate 250mg tablets",570.610601151908
"2019","0402030K0AAAFAF","Lithium Carb_Tab 400mg M/R",41726.0619150468
"2019","0402030K0AAAFAF","Lithium carbonate 400mg modified-release tablets",14487.4910007199
"2019","0402030K0AAAGAG","Lithium Carb_Tab 450mg M/R",402.942764578834
"2019","0402030K0AAAGAG","Lithium carbonate 450mg modified-release tablets",251.079913606911
"2019","0402030K0AAAIAI","Lithium Carb_Tab 200mg M/R",14982.0014398848
"2019","0402030K0AAAIAI","Lithium carbonate 200mg modified-release tablets",5466.38768898488
"2019","0402030K0BBAAAC","Camcolit 250_Tab 250mg",40.7779877609791
"2019","0402030K0BBABAF","Camcolit 400 modified-release tablets",179.535637149028
"2019","0402030K0BBABAF","Camcolit 400_Tab 400mg",735.241180705544
"2019","0402030K0BDAAAG","Liskonum 450mg modified-release tablets",85.0431965442765
"2019","0402030K0BDAAAG","Liskonum_Tab 450mg M/R",48.0899028077754
"2019","0402030K0BFAAAF","Priadel 400mg modified-release tablets",23850.7919366451
"2019","0402030K0BFAAAF","Priadel_Tab 400mg",72333.0633549316
"2019","0402030K0BFABAI","Priadel 200mg modified-release tablets",10520.3833693305
"2019","0402030K0BFABAI","Priadel_Tab 200mg",29135.619150468
"2019","0402030P0AAAIAI","Lithium Cit_Oral Soln 520mg/5ml S/F",456.089539571398
"2019","0402030P0AAAIAI","Lithium citrate 520mg/5ml oral solution sugar free",162.971214371596
"2019","0402030P0AAAKAK","Lithium Cit_Oral Soln 1.018g/5ml",146.698847160337
"2019","0402030P0AAAKAK","Lithium citrate 1.018g/5ml oral solution",108.899144211047
"2019","0402030P0AAALAL","Lithium Cit_Oral Soln 509mg/5ml",287.772738524648
"2019","0402030P0AAALAL","Lithium citrate 509mg/5ml oral solution",132.073962090671
"2019","0402030P0BCAAAI","Priadel 520mg/5ml liquid",510.796378810383
"2019","0402030P0BCAAAI","Priadel_Liq 520mg/5ml S/F",1185.39147040102
"2019","0402030P0BDAAAL","Li-Liquid 509mg/5ml oral solution",61.649515524436
"2019","0402030P0BDAAAL","Li-Liquid_Syr 5.4mmol/5ml",126.899002758328
"2019","0402030P0BDABAK","Li-Liquid_Syr 10.8mmol/5ml",37.7997029492892
"2020","0402030K0AAACAC","Lithium carbonate 250mg tablets",3187.99496040317
"2020","0402030K0AAAFAF","Lithium carbonate 400mg modified-release tablets",48829.6436285097
"2020","0402030K0AAAGAG","Lithium carbonate 450mg modified-release tablets",930.919276457883
"2020","0402030K0AAAIAI","Lithium carbonate 200mg modified-release tablets",18596.3372930166
"2020","0402030K0AAAPAP","Lithium carbonate 200mg/5ml oral suspension",56.695464362851
"2020","0402030K0BBABAF","Camcolit 400 modified-release tablets",5002.2498200144
"2020","0402030K0BDAAAG","Liskonum 450mg modified-release tablets",464.194114470842
"2020","0402030K0BFAAAF","Priadel 400mg modified-release tablets",75704.6436285097
"2020","0402030K0BFABAI","Priadel 200mg modified-release tablets",36608.1713462923
"2020","0402030P0AAAIAI","Lithium citrate 520mg/5ml oral solution sugar free",612.394794539925
"2020","0402030P0AAAKAK","Lithium citrate 1.018g/5ml oral solution",167.398684489709
"2020","0402030P0AAALAL","Lithium citrate 509mg/5ml oral solution",225.223230072848
"2020","0402030P0BCAAAI","Priadel 520mg/5ml liquid",1093.30928637103
"2020","0402030P0BDAAAL","Li-Liquid 509mg/5ml oral solution",114.974096470755
"2020","0402030P0BDABAK","Li-Liquid 1.018g/5ml oral solution",82.7993493174906
"2021","0402030K0AAACAC","Lithium carbonate 250mg tablets",3135.96787257019
