Primary care/community prescribing (FP10),BNF name (BNF code),Total DDDs,,,
,,Primary care,,Community prescribing (FP10),
,,2015,2024,2017,2024
,Total (all products),"12,593,925","9,947,483","185,043","254,863"
,Priadel 400mg modified-release tablets (0402030K0BFAAAF),"7,416,960","6,169,747","81,233","133,176"
,Priadel 200mg modified-release tablets (0402030K0BFABAI),"2,423,331","2,514,932","32,297","47,514"
,Lithium carbonate 400mg modified-release tablets (0402030K0AAAFAF),"1,362,808","424,011","47,520","47,702"
,Camcolit 400 modified-release tablets (0402030K0BBABAF),"301,655","321,058",975,643
,Lithium carbonate 200mg modified-release tablets (0402030K0AAAIAI),"444,010","167,692","17,404","17,011"
,Lithium carbonate 250mg tablets (0402030K0AAACAC),"101,640","143,838","2,250","3,046"
,Priadel 520mg/5ml liquid (0402030P0BCAAAI),"89,733","81,295","1,116","2,146"
,Liskonum 450mg modified-release tablets (0402030K0BDAAAG),"100,230","67,169",177,"1,095"
,Lithium carbonate 450mg modified-release tablets (0402030K0AAAGAG),"43,509","21,788",209,847
,Camcolit 250 tablets (0402030K0BBAAAC),"246,592",0,317,8
,Lithium citrate 520mg/5ml oral solution sugar free (0402030P0AAAIAI),"28,578","9,573",666,842
,Li-Liquid 509mg/5ml oral solution (0402030P0BDAAAL),"10,693","14,181",93,118
,Lithium citrate 509mg/5ml oral solution (0402030P0AAALAL),"10,923","4,406",319,479
,Li-Liquid 1.018g/5ml oral solution (0402030P0BDABAK),"4,897","6,062",131,44
,Lithium citrate 1.018g/5ml oral solution (0402030P0AAAKAK),"6,078","1,644",243,34
,Lithium carbonate 200mg/5ml oral suspension (0402030K0AAAPAP),292,77,92,157
,Lithonate 400mg modified-release tablets (0402030K0BGAAAF),"1,975",9,0,0
,Lithium citrate 10.8mmol/5ml oral solution sugar free (0402030P0AAAJAJ),22,0,0,0
Secondary care,,,,,
,,2019,,2024,
,Total (all products),"812,149",,"898,302",
,Lithium carbonate 400mg modified-release tablets (39110111000001103),"571,839",,"628,061",
,Lithium carbonate 200mg modified-release tablets (39110011000001104),"182,834",,"207,769",
,Lithium citrate 520mg/5ml oral solution sugar free (36040311000001107),"39,928",,"50,368",
,Lithium citrate 509mg/5ml oral solution (42295911000001104),"8,286",,"3,840",
,Lithium carbonate 250mg tablets (42295711000001101),"3,754",,"3,831",
,Lithium citrate 1.018g/5ml oral solution (42295811000001109),"3,496",,"3,337",
,Lithium carbonate 450mg modified-release tablets (36040211000001104),"2,013",,"1,096",
