estimate_year,source_workbook,nhs_region,nhs_region_code,population
2011,ons_pop_estimates_2011-2022.xlsx,East of England,E40000013,6117817
2011,ons_pop_estimates_2011-2022.xlsx,London,E40000003,8204407
2011,ons_pop_estimates_2011-2022.xlsx,Midlands,E40000011,10146115
2011,ons_pop_estimates_2011-2022.xlsx,North East and Yorkshire,E40000012,8196421
2011,ons_pop_estimates_2011-2022.xlsx,North West,E40000014,6744193
2011,ons_pop_estimates_2011-2022.xlsx,South East,E40000005,8392150
2011,ons_pop_estimates_2011-2022.xlsx,South West,E40000006,5306066
2012,ons_pop_estimates_2011-2022.xlsx,East of England,E40000013,6174658
2012,ons_pop_estimates_2011-2022.xlsx,London,E40000003,8320767
2012,ons_pop_estimates_2011-2022.xlsx,Midlands,E40000011,10211027
2012,ons_pop_estimates_2011-2022.xlsx,North East and Yorkshire,E40000012,8224145
2012,ons_pop_estimates_2011-2022.xlsx,North West,E40000014,6767657
2012,ons_pop_estimates_2011-2022.xlsx,South East,E40000005,8466993
2012,ons_pop_estimates_2011-2022.xlsx,South West,E40000006,5341565
2013,ons_pop_estimates_2011-2022.xlsx,East of England,E40000013,6235907
2013,ons_pop_estimates_2011-2022.xlsx,London,E40000003,8438987
2013,ons_pop_estimates_2011-2022.xlsx,Midlands,E40000011,10281513
2013,ons_pop_estimates_2011-2022.xlsx,North East and Yorkshire,E40000012,8249813
2013,ons_pop_estimates_2011-2022.xlsx,North West,E40000014,6793724
2013,ons_pop_estimates_2011-2022.xlsx,South East,E40000005,8538763
2013,ons_pop_estimates_2011-2022.xlsx,South West,E40000006,5379979
2014,ons_pop_estimates_2011-2022.xlsx,East of England,E40000013,6310378
2014,ons_pop_estimates_2011-2022.xlsx,London,E40000003,8547192
2014,ons_pop_estimates_2011-2022.xlsx,Midlands,E40000011,10359511
2014,ons_pop_estimates_2011-2022.xlsx,North East and Yorkshire,E40000012,8278669
2014,ons_pop_estimates_2011-2022.xlsx,North West,E40000014,6829337
2014,ons_pop_estimates_2011-2022.xlsx,South East,E40000005,8617988
2014,ons_pop_estimates_2011-2022.xlsx,South West,E40000006,5427244
2015,ons_pop_estimates_2011-2022.xlsx,East of England,E40000013,6374179
2015,ons_pop_estimates_2011-2022.xlsx,London,E40000003,8659545
2015,ons_pop_estimates_2011-2022.xlsx,Midlands,E40000011,10437927
2015,ons_pop_estimates_2011-2022.xlsx,North East and Yorkshire,E40000012,8301110
2015,ons_pop_estimates_2011-2022.xlsx,North West,E40000014,6870707
2015,ons_pop_estimates_2011-2022.xlsx,South East,E40000005,8688265
2015,ons_pop_estimates_2011-2022.xlsx,South West,E40000006,5476943
2016,ons_pop_estimates_2011-2022.xlsx,East of England,E40000013,6441487
2016,ons_pop_estimates_2011-2022.xlsx,London,E40000003,8743651
2016,ons_pop_estimates_2011-2022.xlsx,Midlands,E40000011,10543863
