practice_code,period_id,unique_role_id,role_status,operational_start,operational_end,period_source
A81001,1,179914,Active,2014-04-15,,full
A81002,1,179915,Active,2014-04-15,,full
A81003,1,179916,Inactive,2014-04-15,2017-11-01,full
A81004,1,179917,Active,2014-04-15,,full
A81005,1,179918,Active,2014-04-15,,full
A81006,1,179919,Active,2014-04-15,,full
A81007,1,179920,Active,2014-04-15,,full
A81008,1,179921,Inactive,2014-04-15,2018-02-01,full
A81009,1,179922,Active,2014-04-15,,full
A81010,1,179923,Inactive,2012-09-30,2012-09-30,archive
A81011,1,179924,Active,2014-04-15,,full
A81012,1,179925,Active,2014-04-15,,full
A81013,1,179926,Active,2014-04-15,,full
A81014,1,179927,Active,2014-04-15,,full
A81015,1,179928,Inactive,2014-04-15,2019-05-01,full
A81016,1,179929,Active,2014-04-15,,full
A81017,1,179930,Active,2014-04-15,,full
A81018,1,179931,Active,2014-04-15,,full
A81019,1,179932,Active,2014-04-15,,full
A81020,1,179933,Active,2014-04-15,,full
A81021,1,179934,Active,2014-04-15,,full
A81022,1,179935,Active,2014-04-15,,full
A81023,1,179936,Active,2014-04-15,,full
A81025,1,179937,Active,2014-04-15,,full
A81026,1,179938,Active,2014-04-15,,full
A81027,1,179939,Active,2014-04-15,,full
A81029,1,179940,Active,2014-04-15,,full
A81030,1,179941,Active,2014-04-15,,full
A81031,1,179942,Active,2014-04-15,,full
A81032,1,179943,Active,2014-04-15,,full
A81033,1,179944,Inactive,2014-04-15,2019-05-01,full
A81034,1,179945,Active,2014-04-15,,full
A81035,1,179946,Active,2014-04-15,,full
A81036,1,179947,Active,2014-04-15,,full
A81037,1,179948,Active,2014-04-15,,full
A81038,1,179949,Active,2014-04-15,,full
A81039,1,179950,Active,2014-04-15,,full
A81040,1,179951,Active,2014-04-15,,full
A81041,1,179952,Active,2014-04-15,,full
A81042,1,179953,Active,2014-04-15,,full
A81043,1,179954,Inactive,2014-04-15,2024-06-30,full
A81044,1,179955,Active,2014-04-15,,full
A81045,1,179956,Active,2014-04-15,,full
A81046,1,179957,Active,2014-04-15,,full
A81047,1,179958,Inactive,2014-04-15,2018-09-30,full
A81048,1,179959,Active,2014-04-15,,full
A81049,1,179960,Active,2014-04-15,,full
A81051,1,179961,Active,2014-04-15,,full
A81052,1,179962,Active,2014-04-15,,full
A81053,1,179963,Active,2014-04-15,,full
A81054,1,179964,Active,2014-04-15,,full
A81056,1,179966,Active,2014-04-15,,full
A81057,1,179967,Active,2014-04-15,,full
A81058,1,179968,Active,2014-04-15,,full
A81060,1,179969,Active,2014-04-15,,full
A81063,1,179971,Active,2014-04-15,,full
A81064,1,179972,Active,2014-04-15,,full
A81065,1,179973,Active,2014-04-15,,full
A81066,1,179974,Active,2014-04-15,,full
A81067,1,179975,Active,2014-04-15,,full
A81068,1,179976,Inactive,2012-09-30,2012-09-30,archive
A81069,1,179977,Inactive,2014-04-15,2017-01-31,archive
A81070,1,179978,Active,2014-04-15,,full
A81071,1,179979,Inactive,2012-09-30,2012-09-30,archive
A81602,1,179980,Active,2014-04-15,,full
A81605,1,179981,Inactive,2014-04-15,2017-03-31,archive
A81608,1,179982,Active,2014-04-15,,full
A81609,1,179983,Inactive,2014-04-15,2017-11-01,full
A81610,1,179984,Active,2014-04-15,,full
A81611,1,179985,Active,2014-04-15,,full
A81612,1,179986,Active,2014-04-15,,full
A81613,1,179987,Inactive,2014-04-15,2017-08-16,full
A81618,1,179988,Active,2014-04-15,,full
A81620,1,179989,Inactive,2012-09-30,2012-09-30,archive
A81621,1,179990,Active,2014-04-15,,full
A81622,1,179991,Active,2014-04-15,,full
A81623,1,179992,Inactive,2014-04-15,2017-07-05,full
A81627,1,179994,Inactive,2012-09-30,2012-09-30,archive
A81629,1,179995,Active,2014-04-15,,full
A81630,1,179996,Inactive,2014-04-15,2024-10-31,full
A81631,1,179997,Active,2014-04-15,,full
A81632,1,179998,Inactive,2014-04-15,2020-06-30,full
A81633,1,179999,Inactive,2014-04-15,2024-03-31,full
A81634,1,180000,Active,2014-04-15,,full
A82003,1,180002,Active,2014-04-15,,full
A82004,1,180003,Active,2014-04-15,,full
A82005,1,180004,Active,2014-04-15,,full
A82006,1,180005,Active,2014-04-15,,full
A82007,1,180006,Active,2014-04-15,,full
A82008,1,180007,Active,2014-04-15,,full
A82009,1,180008,Active,2014-04-15,,full
A82010,1,180009,Active,2014-04-15,,full
A82011,1,180010,Inactive,2014-04-15,2016-06-08,archive
A82012,1,180011,Active,2014-04-15,,full
A82013,1,180012,Active,2014-04-15,,full
A82014,1,180013,Active,2014-04-15,,full
A82015,1,180014,Active,2014-04-15,,full
A82016,1,180015,Active,2014-04-15,,full
A82017,1,180016,Inactive,2014-04-15,2017-11-01,full
A82018,1,180017,Active,2014-04-15,,full
A82019,1,180018,Inactive,2014-04-15,2025-04-30,full
A82020,1,180019,Active,2014-04-15,,full
A82021,1,180020,Active,2014-04-15,,full
A82022,1,180021,Active,2014-04-15,,full
A82023,1,180022,Active,2014-04-15,,full
A82024,1,180023,Active,2014-04-15,,full
A82025,1,180024,Active,2014-04-15,,full
A82026,1,180025,Active,2014-04-15,,full
A82027,1,180026,Active,2014-04-15,,full
A82028,1,180027,Active,2014-04-15,,full
A82029,1,180028,Active,2014-04-15,,full
A82030,1,180029,Active,2014-04-15,,full
A82031,1,180030,Active,2014-04-15,,full
A82032,1,180031,Active,2014-04-15,,full
A82033,1,180032,Active,2014-04-15,,full
A82034,1,180033,Inactive,2014-04-15,2021-08-31,full
A82035,1,180034,Active,2014-04-15,,full
A82036,1,180035,Active,2014-04-15,,full
A82037,1,180036,Active,2014-04-15,,full
A82038,1,180037,Active,2014-04-15,,full
A82039,1,180038,Active,2014-04-15,,full
A82040,1,180039,Inactive,2014-04-15,2017-11-01,full
A82041,1,180040,Active,2014-04-15,,full
A82042,1,180041,Inactive,2012-09-30,2012-09-30,archive
A82044,1,180042,Active,2014-04-15,,full
A82045,1,180043,Active,2014-04-15,,full
A82046,1,180044,Active,2014-04-15,,full
A82047,1,180045,Active,2014-04-15,,full
A82048,1,180046,Inactive,2014-04-15,2022-03-31,full
A82049,1,180047,Inactive,2014-04-15,2022-03-31,full
A82050,1,180048,Inactive,2014-04-15,2022-03-31,full
A82052,1,180049,Inactive,2014-04-15,2017-11-01,full
A82053,1,180050,Active,2014-04-15,,full
A82055,1,180051,Active,2014-04-15,,full
A82057,1,180053,Inactive,2014-04-15,2017-11-01,full
A82058,1,180054,Inactive,2014-04-15,2024-03-31,full
A82060,1,180055,Inactive,2014-04-15,2019-12-04,full
A82062,1,180057,Active,2014-04-15,,full
A82063,1,180058,Inactive,2014-04-15,2018-05-02,full
A82064,1,180059,Active,2014-04-15,,full
A82065,1,180060,Inactive,2014-04-15,2022-03-31,full
A82068,1,180061,Active,2014-04-15,,full
A82070,1,180062,Active,2014-04-15,,full
A82071,1,180063,Active,2014-04-15,,full
A82072,1,180064,Active,2014-04-15,,full
A82074,1,180065,Inactive,2014-04-15,2019-07-31,full
A82075,1,180066,Active,2014-04-15,,full
A82077,1,180067,Inactive,2014-04-15,2024-10-31,full
A82608,1,180070,Active,2014-04-15,,full
A82609,1,180071,Inactive,2012-09-30,2012-09-30,archive
A82613,1,180072,Active,2014-04-15,,full
A82614,1,180073,Inactive,2012-09-30,2012-09-30,archive
A82617,1,180076,Active,2014-04-15,,full
A82619,1,180078,Inactive,2014-04-15,2016-12-31,archive
A82620,1,180079,Active,2014-04-15,,full
A82621,1,180080,Inactive,2014-04-15,2021-08-31,full
A82622,1,180081,Inactive,2012-09-30,2012-09-30,archive
A82623,1,180082,Inactive,2014-04-15,2022-03-31,full
A82625,1,180083,Inactive,2012-09-30,2012-09-30,archive
A82629,1,180085,Active,2014-04-15,,full
A82631,1,180087,Active,2014-04-15,,full
A82632,1,180088,Inactive,2012-09-30,2012-09-30,archive
A82635,1,180089,Inactive,2014-04-15,2016-12-31,archive
A82641,1,180091,Inactive,2014-04-15,2017-01-04,archive
A82642,1,180092,Inactive,2014-04-15,2017-07-05,full
A82646,1,180094,Active,2014-04-15,,full
A82647,1,180095,Active,2014-04-15,,full
A82650,1,180098,Active,2014-04-15,,full
A82651,1,180099,Active,2014-04-15,,full
A82654,1,180101,Active,2014-04-15,,full
A83001,1,180102,Active,2014-04-15,,full
A83003,1,180103,Active,2014-04-15,,full
A83004,1,180104,Inactive,2014-04-15,2020-11-30,full
A83005,1,180105,Active,2014-04-15,,full
A83006,1,180106,Active,2014-04-15,,full
A83007,1,180107,Active,2014-04-15,,full
A83008,1,180108,Active,2014-04-15,,full
A83009,1,180109,Active,2014-04-15,,full
A83010,1,180110,Active,2014-04-15,,full
