practice_code,ord_name,ord_status,country,ref_only,sub_icb_code,region_code,region,data_source,ro76_period_count
A81001,THE DENSHAM SURGERY,Active,ENGLAND,False,16C,QHM,,full,1
A81002,QUEENS PARK MEDICAL CENTRE,Active,ENGLAND,False,16C,QHM,,full,1
A81003,VICTORIA MEDICAL PRACTICE,Inactive,ENGLAND,False,00K,,,full,1
A81004,ACKLAM MEDICAL CENTRE,Active,ENGLAND,False,16C,QHM,,full,1
A81005,SPRINGWOOD SURGERY,Active,ENGLAND,False,16C,QHM,,full,1
A81006,TENNANT STREET MEDICAL PRACTICE,Active,ENGLAND,False,16C,QHM,,full,1
A81007,BANKHOUSE SURGERY,Active,ENGLAND,False,16C,QHM,,full,1
A81008,ALBERT HOUSE CLINIC,Inactive,ENGLAND,False,00M,,,full,1
A81009,VILLAGE MEDICAL CENTRE,Active,ENGLAND,False,16C,QHM,,full,1
A81010,HART LODGE,Inactive,ENGLAND,False,,,,archive,1
A81011,CHADWICK PRACTICE,Active,ENGLAND,False,16C,QHM,,full,1
A81012,WESTBOURNE MEDICAL CENTRE,Active,ENGLAND,False,16C,QHM,,full,1
A81013,BROTTON SURGERY,Active,ENGLAND,False,16C,QHM,,full,1
A81014,QUEENSTREE PRACTICE,Active,ENGLAND,False,16C,QHM,,full,1
A81015,LAGAN SURGERY,Inactive,ENGLAND,False,00M,,,full,1
A81016,PARK SURGERY,Active,ENGLAND,False,16C,QHM,,full,1
A81017,WOODBRIDGE PRACTICE,Active,ENGLAND,False,16C,QHM,,full,1
A81018,BENTLEY MEDICAL PRACTICE,Active,ENGLAND,False,16C,QHM,,full,1
A81019,CROSSFELL HEALTH CENTRE,Active,ENGLAND,False,16C,QHM,,full,1
A81020,MARTONSIDE MEDICAL CENTRE,Active,ENGLAND,False,16C,QHM,,full,1
A81021,NORMANBY MEDICAL CENTRE,Active,ENGLAND,False,16C,QHM,,full,1
A81022,HILLSIDE PRACTICE,Active,ENGLAND,False,16C,QHM,,full,1
A81023,THE ENDEAVOUR PRACTICE,Active,ENGLAND,False,16C,QHM,,full,1
A81025,THE DOVECOT SURGERY,Active,ENGLAND,False,16C,QHM,,full,1
A81026,LINTHORPE SURGERY,Active,ENGLAND,False,16C,QHM,,full,1
A81027,YARM MEDICAL PRACTICE,Active,ENGLAND,False,16C,QHM,,full,1
A81029,PROSPECT SURGERY,Active,ENGLAND,False,16C,QHM,,full,1
A81030,BOROUGH ROAD & NUNTHORPE MEDICAL GROUP,Active,ENGLAND,False,16C,QHM,,full,1
A81031,HAVELOCK GRANGE PRACTICE,Active,ENGLAND,False,16C,QHM,,full,1
A81032,THE GARTH,Active,ENGLAND,False,16C,QHM,,full,1
A81033,OAKFIELD MEDICAL PRACTICE,Inactive,ENGLAND,False,00M,,,full,1
A81034,THORNABY & BARWICK MEDICAL GROUP,Active,ENGLAND,False,16C,QHM,,full,1
A81035,NEWLANDS MEDICAL CENTRE,Active,ENGLAND,False,16C,QHM,,full,1
A81036,NORTON MEDICAL CENTRE,Active,ENGLAND,False,16C,QHM,,full,1
A81037,THE ERIMUS PRACTICE,Active,ENGLAND,False,16C,QHM,,full,1
A81038,HIRSEL MEDICAL CENTRE,Active,ENGLAND,False,16C,QHM,,full,1
A81039,EAGLESCLIFFE MEDICAL PRACTICE,Active,ENGLAND,False,16C,QHM,,full,1
A81040,MARSH HOUSE MEDICAL PRACTICE,Active,ENGLAND,False,16C,QHM,,full,1
A81041,HART MEDICAL PRACTICE,Active,ENGLAND,False,16C,QHM,,full,1
A81042,SOUTH GRANGE MEDICAL GROUP PRACTICE,Active,ENGLAND,False,16C,QHM,,full,1
