"year","region","total_DDD","population","DDDs_per_1000"
2015,"East of England",1532520.05574646,6374179,240.43
2015,"London",1623575.70495888,8659545,187.49
2015,"Midlands",2215830.35284854,10437927,212.29
2015,"North East and Yorkshire",1953980.33253858,8301110,235.39
2015,"North West",1876579.22940003,6870707,273.13
2015,"South East",2037024.40717314,8688265,234.46
2015,"South West",1358793.10858266,5476943,248.09
2015,"Unknown",36271.3372514858,NA,NA
2016,"East of England",1483370.47357675,6441487,230.28
2016,"London",1575387.69180897,8743651,180.18
2016,"Midlands",2158816.76770139,10543863,204.75
2016,"North East and Yorkshire",1887663.8317004,8338384,226.38
2016,"North West",1849122.04060356,6922068,267.13
2016,"South East",2008203.81043753,8767028,229.06
2016,"South West",1331355.42909018,5532553,240.64
2016,"Unknown",39019.0702606618,NA,NA
2017,"East of England",1443022.91006996,6485874,222.49
2017,"London",1518778.19088875,8776229,173.06
2017,"Midlands",2091594.76764539,10633398,196.7
2017,"North East and Yorkshire",1817143.05733345,8363457,217.27
2017,"North West",1800845.52022073,6963879,258.6
2017,"South East",1967831.6277602,8816332,223.2
2017,"South West",1307640.60191321,5580379,234.33
2017,"Unknown",29636.2920008411,NA,NA
2018,"East of England",1412013.10374037,6522780,216.47
2018,"London",1491421.66039734,8833335,168.84
2018,"Midlands",2043646.73282646,10704479,190.92
2018,"North East and Yorkshire",1739290.36782462,8385257,207.42
2018,"North West",1750312.1858287,7004135,249.9
2018,"South East",1963431.00566468,8858941,221.63
2018,"South West",1257403.46242966,5615601,223.91
2018,"Unknown",11736.4115893007,NA,NA
2019,"East of England",1385536.11178897,6562167,211.14
2019,"London",1505286.75287473,8889743,169.33
2019,"Midlands",2017258.37119361,10764978,187.39
2019,"North East and Yorkshire",1688870.27819977,8413528,200.73
2019,"North West",1702879.27528882,7051066,241.51
2019,"South East",1937026.50346741,8899771,217.65
2019,"South West",1234646.30639339,5648803,218.57
2019,"Unknown",2721.71094071863,NA,NA
2020,"East of England",1383688.30199902,6588234,210.02
2020,"London",1513123.53893499,8867008,170.65
2020,"Midlands",2006305.5921742,10787393,185.99
2020,"North East and Yorkshire",1671637.08332694,8418150,198.58
2020,"North West",1689629.93404433,7068368,239.04
2020,"South East",1943169.05204824,8928630,217.63
2020,"South West",1251524.18135871,5668178,220.8
2020,"Unknown",2566.24153135859,NA,NA
2021,"East of England",1311411.00959091,6645011,197.35
2021,"London",1459929.02347118,8804769,165.81
2021,"Midlands",1876870.32892731,10837785,173.18
2021,"North East and Yorkshire",1568840.63641284,8444104,185.79
2021,"North West",1590931.54403758,7109936,223.76
2021,"South East",1843093.92843226,8994117,204.92
2021,"South West",1171060.57699563,5719169,204.76
2021,"Unknown",3087.78846387388,NA,NA
2022,"East of England",1261918.57854825,6702351,188.28
2022,"London",1454833.75894878,8871368,163.99
2022,"Midlands",1807409.02543974,10956530,164.96
2022,"North East and Yorkshire",1507649.78212796,8541881,176.5
2022,"North West",1520761.23680363,7210078,210.92
2022,"South East",1776367.88851847,9086407,195.5
2022,"South West",1140584.79408041,5775780,197.48
2022,"Unknown",3609.0555642245,NA,NA
2023,"East of England",1225916.68989046,6800736,180.26
2023,"London",1464376.40009569,8999705,162.71
2023,"Midlands",1770435.31802402,11110198,159.35
2023,"North East and Yorkshire",1452631.57006781,8654398,167.85
2023,"North West",1464466.80989757,7315223,200.19
2023,"South East",1725638.93124833,9215038,187.26
2023,"South West",1114029.86895899,5837172,190.85
2023,"Unknown",3487.09266848722,NA,NA
2024,"East of England",1202920.78407072,6889610,174.6
2024,"London",1490967.64389387,9089736,164.03
2024,"Midlands",1718659.27837087,11250368,152.76
2024,"North East and Yorkshire",1408153.11634872,8755647,160.83
2024,"North West",1387024.87262095,7415407,187.05
2024,"South East",1689654.75036965,9322323,181.25
2024,"South West",1095047.61499507,5897010,185.7
2024,"Unknown",1256.30193060049,NA,NA
