"product_code","product_name","total_DDD_primary_care","total_DDD_fp10"
"0402030K0BFAAAF","Priadel 400mg modified-release tablets",67724707.9733621,753504.76961843
"0402030K0BFABAI","Priadel 200mg modified-release tablets",25750557.5053996,299783.342332614
"0402030K0AAAFAF","Lithium carbonate 400mg modified-release tablets",8410319.02447804,392343.862491
"0402030K0BBABAF","Camcolit 400 modified-release tablets",3233047.1562275,15551.6558675306
"0402030K0AAAIAI","Lithium carbonate 200mg modified-release tablets",3017178.27573794,142088.507919367
"0402030K0AAACAC","Lithium carbonate 250mg tablets",1830203.5524658,22600.2857271419
"0402030P0BCAAAI","Priadel 520mg/5ml liquid",841887.686540774,10215.2839663342
"0402030K0BDAAAG","Liskonum 450mg modified-release tablets",803471.92224622,5018.05480561555
"0402030K0AAAGAG","Lithium carbonate 450mg modified-release tablets",299074.142818575,4550.82343412527
"0402030K0BBAAAC","Camcolit 250 tablets",288708.434575234,473.587113030958
"0402030P0AAAIAI","Lithium citrate 520mg/5ml oral solution sugar free",169505.049862084,4324.82848857769
"0402030P0BDAAAL","Li-Liquid 509mg/5ml oral solution",142969.906464389,1156.71590989462
"0402030P0AAALAL","Lithium citrate 509mg/5ml oral solution",80940.9089221303,2468.7255994059
"0402030P0BDABAK","Li-Liquid 1.018g/5ml oral solution",60748.5326048518,391.04692693967
"0402030P0AAAKAK","Lithium citrate 1.018g/5ml oral solution",31477.2526345569,1111.94126175826
"0402030K0AAAPAP","Lithium carbonate 200mg/5ml oral suspension",2550.39596832253,430.16558675306
"0402030K0BGAAAF","Lithonate 400mg modified-release tablets",2451.85385169186,0
"0402030P0AAAJAJ","Lithium citrate 10.8mmol/5ml oral solution sugar free",76.4993988259424,0
