"product_code","product_name","total_DDD"
"0402030K0BFAAAF","Priadel 400mg modified-release tablets",67922815.87473
"0402030K0BFABAI","Priadel 200mg modified-release tablets",25820790.5867531
"0402030K0AAAFAF","Lithium carbonate 400mg modified-release tablets",8471912.34701224
"0402030K0BBABAF","Camcolit 400 modified-release tablets",3240926.47588193
"0402030K0AAAIAI","Lithium carbonate 200mg modified-release tablets",3036645.74334053
"0402030K0AAACAC","Lithium carbonate 250mg tablets",1835651.77285817
"0402030P0BCAAAI","Priadel 520mg/5ml liquid",845127.15892213
"0402030K0BDAAAG","Liskonum 450mg modified-release tablets",804834.638228942
"0402030K0AAAGAG","Lithium carbonate 450mg modified-release tablets",300309.800215983
"0402030K0BBAAAC","Camcolit 250 tablets",290162.943214543
"0402030P0AAAIAI","Lithium citrate 520mg/5ml oral solution sugar free",170322.388429168
"0402030P0BDAAAL","Li-Liquid 509mg/5ml oral solution",143354.833439423
"0402030P0AAALAL","Lithium citrate 509mg/5ml oral solution",81811.8320779404
"0402030P0BDABAK","Li-Liquid 1.018g/5ml oral solution",60900.1814131127
"0402030P0AAAKAK","Lithium citrate 1.018g/5ml oral solution",31498.8524648136
"0402030K0AAAPAP","Lithium carbonate 200mg/5ml oral suspension",2550.39596832253
"0402030K0BGAAAF","Lithonate 400mg modified-release tablets",2464.4528437725
"0402030P0AAAJAJ","Lithium citrate 10.8mmol/5ml oral solution sugar free",76.4993988259424
