"year","product_code","product_name","total_DDD"
"2015","0402030K0AAACAC","Lithium carbonate 250mg tablets",102240.539506839
"2015","0402030K0AAAFAF","Lithium carbonate 400mg modified-release tablets",1359532.93736501
"2015","0402030K0AAAGAG","Lithium carbonate 450mg modified-release tablets",43801.2958963283
"2015","0402030K0AAAIAI","Lithium carbonate 200mg modified-release tablets",445517.908567315
"2015","0402030K0AAAPAP","Lithium carbonate 200mg/5ml oral suspension",292.47660187185
"2015","0402030K0BBAAAC","Camcolit 250 tablets",247379.522138229
"2015","0402030K0BBABAF","Camcolit 400 modified-release tablets",300676.745860331
"2015","0402030K0BDAAAG","Liskonum 450mg modified-release tablets",101749.122570194
"2015","0402030K0BFAAAF","Priadel 400mg modified-release tablets",7403981.73146148
"2015","0402030K0BFABAI","Priadel 200mg modified-release tablets",2424810.56515479
"2015","0402030K0BGAAAF","Lithonate 400mg modified-release tablets",1912.34701223902
"2015","0402030P0AAAIAI","Lithium citrate 520mg/5ml oral solution sugar free",38161.1984376488
"2015","0402030P0AAAJAJ","Lithium citrate 10.8mmol/5ml oral solution sugar free",30.306277984186
"2015","0402030P0AAAKAK","Lithium citrate 1.018g/5ml oral solution",7742.64789939983
"2015","0402030P0AAALAL","Lithium citrate 509mg/5ml oral solution",14566.0457749833
"2015","0402030P0BCAAAI","Priadel 520mg/5ml liquid",120589.644660379
"2015","0402030P0BDAAAL","Li-Liquid 509mg/5ml oral solution",14140.0001190816
"2015","0402030P0BDABAK","Li-Liquid 1.018g/5ml oral solution",6337.64885205297
"2016","0402030K0AAACAC","Lithium carbonate 250mg tablets",227562.263768898
"2016","0402030K0AAAFAF","Lithium carbonate 400mg modified-release tablets",1265997.12023038
"2016","0402030K0AAAGAG","Lithium carbonate 450mg modified-release tablets",38526.086663067
"2016","0402030K0AAAIAI","Lithium carbonate 200mg modified-release tablets",407845.34737221
"2016","0402030K0AAAPAP","Lithium carbonate 200mg/5ml oral suspension",337.473002159827
"2016","0402030K0BBAAAC","Camcolit 250 tablets",31131.8844492441
"2016","0402030K0BBABAF","Camcolit 400 modified-release tablets",289187.814974802
"2016","0402030K0BDAAAG","Liskonum 450mg modified-release tablets",90525.9516738661
"2016","0402030K0BFAAAF","Priadel 400mg modified-release tablets",7384991.45068395
"2016","0402030K0BFABAI","Priadel 200mg modified-release tablets",2391143.58351332
"2016","0402030K0BGAAAF","Lithonate 400mg modified-release tablets",476.511879049676
"2016","0402030P0AAAIAI","Lithium citrate 520mg/5ml oral solution sugar free",31919.2293036106
