"year","region","DDDs_per_1000"
2019,"East of England",220.69
2019,"London",192.75
2019,"Midlands",208.37
2019,"North East and Yorkshire",219.03
2019,"North West",260.19
2019,"South East",234
2019,"South West",233.01
2020,"East of England",218.21
2020,"London",194.1
2020,"Midlands",206.03
2020,"North East and Yorkshire",214.18
2020,"North West",256.83
2020,"South East",232.79
2020,"South West",234.09
2021,"East of England",205
2021,"London",190.53
2021,"Midlands",192.74
2021,"North East and Yorkshire",201.87
2021,"North West",242.56
2021,"South East",219.24
2021,"South West",217.65
2022,"East of England",196.8
2022,"London",189.68
2022,"Midlands",185.18
2022,"North East and Yorkshire",191.21
2022,"North West",230.06
2022,"South East",209.69
2022,"South West",210.73
2023,"East of England",188.91
2023,"London",189.35
2023,"Midlands",179.42
2023,"North East and Yorkshire",183.28
2023,"North West",218.89
2023,"South East",200.94
2023,"South West",204.06
2024,"East of England",183.62
2024,"London",193.05
2024,"Midlands",173.87
2024,"North East and Yorkshire",178.62
2024,"North West",206.89
2024,"South East",197.39
2024,"South West",200.69
