"year","region","total_DDD","population","DDDs_per_1000"
"2019","East Of England",51140.5911915971,6562167,7.79
"2019","London",177361.120887064,8889743,19.95
"2019","Midlands",179133.362103629,10764978,16.64
"2019","North East And Yorkshire",117342.823415947,8413528,13.95
"2019","North West",106901.624278014,7051066,15.16
"2019","South East",113590.085292095,8899771,12.76
"2019","South West",66679.1234043415,5648803,11.8
"2020","East Of England",45552.0588168351,6588234,6.91
"2020","London",177725.068287981,8867008,20.04
"2020","Midlands",177655.719921496,10787393,16.47
"2020","North East And Yorkshire",101747.794525738,8418150,12.09
"2020","North West",106936.572342831,7068368,15.13
"2020","South East",107740.150694978,8928630,12.07
"2020","South West",65015.8835332575,5668178,11.47
"2021","East Of England",42882.576246701,6645011,6.45
"2021","London",188304.260756211,8804769,21.39
"2021","Midlands",175623.697000962,10837785,16.2
"2021","North East And Yorkshire",103012.12969767,8444104,12.2
"2021","North West",109593.797949379,7109936,15.41
"2021","South East",101047.12550192,8994117,11.23
"2021","South West",65385.0895869833,5719169,11.43
"2022","East Of England",46192.068074083,6702351,6.89
"2022","London",196284.358301304,8871368,22.13
"2022","Midlands",185316.88239543,10956530,16.91
"2022","North East And Yorkshire",91316.9779189785,8541881,10.69
"2022","North West",111417.234948575,7210078,15.45
"2022","South East",97710.4613115356,9086407,10.75
"2022","South West",66617.1288868374,5775780,11.53
"2023","East Of England",46907.5946219019,6800736,6.9
"2023","London",205738.524224236,8999705,22.86
"2023","Midlands",197900.41262501,11110198,17.81
"2023","North East And Yorkshire",94108.9770682763,8654398,10.87
"2023","North West",111369.245284534,7315223,15.22
"2023","South East",94433.7282273943,9215038,10.25
"2023","South West",66926.1524119446,5837172,11.47
"2024","East Of England",48386.4973726991,6889610,7.02
"2024","London",227666.731385391,9089736,25.05
"2024","Midlands",214674.400011239,11250368,19.08
"2024","North East And Yorkshire",107095.950858145,8755647,12.23
"2024","North West",118021.946658653,7415407,15.92
"2024","South East",109345.962388509,9322323,11.73
"2024","South West",73110.7186094113,5897010,12.4
