"year","product_code","product_name","total_DDD"
"2019",36040211000001104,"Lithium carbonate 450mg modified-release tablets",2012.68898488121
"2019",36040311000001104,"Lithium citrate 520mg/5ml oral solution sugar free",39927.7245561921
"2019",39110011000001104,"Lithium carbonate 200mg modified-release tablets",182833.535817135
"2019",39110111000001104,"Lithium carbonate 400mg modified-release tablets",571839.00287977
"2019",42295711000001104,"Lithium carbonate 250mg tablets",3754.10592152628
"2019",42295811000001112,"Lithium citrate 1.018g/5ml oral solution",3496.02252634557
"2019",42295911000001104,"Lithium citrate 509mg/5ml oral solution",8285.64988683782
"2020",36040211000001104,"Lithium carbonate 450mg modified-release tablets",2831.22975161987
"2020",36040311000001104,"Lithium citrate 520mg/5ml oral solution sugar free",39286.0422943631
"2020",39110011000001104,"Lithium carbonate 200mg modified-release tablets",175165.924226062
"2020",39110111000001104,"Lithium carbonate 400mg modified-release tablets",547239.695824334
"2020",42295711000001104,"Lithium carbonate 250mg tablets",6895.41711663067
"2020",42295811000001112,"Lithium citrate 1.018g/5ml oral solution",3770.02537308155
"2020",42295911000001104,"Lithium citrate 509mg/5ml oral solution",7184.91353702525
"2021",36040211000001104,"Lithium carbonate 450mg modified-release tablets",1915.49676025918
"2021",36040311000001104,"Lithium citrate 520mg/5ml oral solution sugar free",46027.9472027725
"2021",39110011000001104,"Lithium carbonate 200mg modified-release tablets",171103.568214543
"2021",39110111000001104,"Lithium carbonate 400mg modified-release tablets",551385.362670986
"2021",42295711000001104,"Lithium carbonate 250mg tablets",4878.7347012239
"2021",42295811000001112,"Lithium citrate 1.018g/5ml oral solution",2365.18141311267
"2021",42295911000001104,"Lithium citrate 509mg/5ml oral solution",8172.38577692906
"2022",36040211000001104,"Lithium carbonate 450mg modified-release tablets",1147.57694384449
"2022",36040311000001104,"Lithium citrate 520mg/5ml oral solution sugar free",42600.3494943065
"2022",39110011000001104,"Lithium carbonate 200mg modified-release tablets",176952.618790497
"2022",39110111000001104,"Lithium carbonate 400mg modified-release tablets",560788.111951044
"2022",42295711000001104,"Lithium carbonate 250mg tablets",4110.7023938085
"2022",42295811000001112,"Lithium citrate 1.018g/5ml oral solution",3274.71426550675
"2022",42295911000001104,"Lithium citrate 509mg/5ml oral solution",5981.03799773676
"2023",36040211000001104,"Lithium carbonate 450mg modified-release tablets",1269.57343412527
"2023",36040311000001104,"Lithium citrate 520mg/5ml oral solution sugar free",44359.4313600679
"2023",39110011000001104,"Lithium carbonate 200mg modified-release tablets",188309.822714183
"2023",39110111000001104,"Lithium carbonate 400mg modified-release tablets",571660.95662347
"2023",42295711000001104,"Lithium carbonate 250mg tablets",4290.9692224622
"2023",42295811000001112,"Lithium citrate 1.018g/5ml oral solution",3689.29600749699
"2023",42295911000001104,"Lithium citrate 509mg/5ml oral solution",3804.58510149233
"2024",36040211000001104,"Lithium carbonate 450mg modified-release tablets",1096.44978401728
"2024",36040311000001104,"Lithium citrate 520mg/5ml oral solution sugar free",50367.575500389
"2024",39110011000001104,"Lithium carbonate 200mg modified-release tablets",207769.303455724
"2024",39110111000001104,"Lithium carbonate 400mg modified-release tablets",628060.655147588
"2024",42295711000001104,"Lithium carbonate 250mg tablets",3830.59980201584
"2024",42295811000001112,"Lithium citrate 1.018g/5ml oral solution",3337.17377466582
"2024",42295911000001104,"Lithium citrate 509mg/5ml oral solution",3840.44981964778
