"product_code","product_name"
"0402030K0AAACAC","Lithium Carb_Tab 250mg"
"0402030K0AAACAC","Lithium carbonate 250mg tablets"
"0402030K0AAAFAF","Lithium Carb_Tab 400mg M/R"
"0402030K0AAAFAF","Lithium carbonate 400mg modified-release tablets"
"0402030K0AAAGAG","Lithium Carb_Tab 450mg M/R"
"0402030K0AAAGAG","Lithium carbonate 450mg modified-release tablets"
"0402030K0AAAIAI","Lithium Carb_Tab 200mg M/R"
"0402030K0AAAIAI","Lithium carbonate 200mg modified-release tablets"
"0402030K0AAAPAP","Lithium Carb_Liq Spec 200mg/5ml"
"0402030K0AAAPAP","Lithium carbonate 200mg/5ml oral suspension"
"0402030K0BBAAAC","Camcolit 250 tablets"
"0402030K0BBAAAC","Camcolit 250_Tab 250mg"
"0402030K0BBABAF","Camcolit 400 modified-release tablets"
"0402030K0BBABAF","Camcolit 400_Tab 400mg"
"0402030K0BDAAAG","Liskonum 450mg modified-release tablets"
"0402030K0BDAAAG","Liskonum_Tab 450mg M/R"
"0402030K0BFAAAF","Priadel 400mg modified-release tablets"
"0402030K0BFAAAF","Priadel_Tab 400mg"
"0402030K0BFABAI","Priadel 200mg modified-release tablets"
"0402030K0BFABAI","Priadel_Tab 200mg"
"0402030P0AAAIAI","Lithium Cit_Oral Soln 520mg/5ml S/F"
"0402030P0AAAIAI","Lithium citrate 520mg/5ml oral solution sugar free"
"0402030P0AAAKAK","Lithium Cit_Oral Soln 1.018g/5ml"
"0402030P0AAAKAK","Lithium citrate 1.018g/5ml oral solution"
"0402030P0AAALAL","Lithium Cit_Oral Soln 509mg/5ml"
"0402030P0AAALAL","Lithium citrate 509mg/5ml oral solution"
"0402030P0BCAAAI","Priadel 520mg/5ml liquid"
"0402030P0BCAAAI","Priadel_Liq 520mg/5ml S/F"
"0402030P0BDAAAL","Li-Liquid 509mg/5ml oral solution"
"0402030P0BDAAAL","Li-Liquid_Syr 5.4mmol/5ml"
"0402030P0BDABAK","Li-Liquid 1.018g/5ml oral solution"
"0402030P0BDABAK","Li-Liquid_Syr 10.8mmol/5ml"
