"product_code","product_name"
"0402030K0AAACAC","Lithium carbonate 250mg tablets"
"0402030K0AAAFAF","Lithium carbonate 400mg modified-release tablets"
"0402030K0AAAGAG","Lithium carbonate 450mg modified-release tablets"
"0402030K0AAAIAI","Lithium carbonate 200mg modified-release tablets"
"0402030K0AAAPAP","Lithium carbonate 200mg/5ml oral suspension"
"0402030K0BBAAAC","Camcolit 250 tablets"
"0402030K0BBABAF","Camcolit 400 modified-release tablets"
"0402030K0BDAAAG","Liskonum 450mg modified-release tablets"
"0402030K0BFAAAF","Priadel 400mg modified-release tablets"
"0402030K0BFABAI","Priadel 200mg modified-release tablets"
"0402030K0BGAAAF","Lithonate 400mg modified-release tablets"
"0402030P0AAAIAI","Lithium citrate 520mg/5ml oral solution sugar free"
"0402030P0AAAJAJ","Lithium citrate 10.8mmol/5ml oral solution sugar free"
"0402030P0AAAKAK","Lithium citrate 1.018g/5ml oral solution"
"0402030P0AAALAL","Lithium citrate 509mg/5ml oral solution"
"0402030P0BCAAAI","Priadel 520mg/5ml liquid"
"0402030P0BDAAAL","Li-Liquid 509mg/5ml oral solution"
"0402030P0BDABAK","Li-Liquid 1.018g/5ml oral solution"
